Transportation and Logistics,the Dynamics of Transportation and Logistics,Random
Traffic volume (vehicles/day),Customer satisfaction (rating)
1000.0,3.31
2706.9,3.75
4413.79,2.71
6120.69,2.99
7827.59,4.98
9534.48,2.89
11241.38,4.97
12948.28,1.54
14655.17,1.51
16362.07,3.94
18068.97,2.36
19775.86,4.59
21482.76,1.26
23189.66,2.67
24896.55,1.72
26603.45,1.0
28310.34,3.49
30017.24,1.38
31724.14,1.5
33431.03,4.3
35137.93,3.27
36844.83,4.08
38551.72,3.29
40258.62,1.49
41965.52,3.09
43672.41,4.07
45379.31,2.96
47086.21,3.47
48793.1,2.77
50500.0,1.3
52206.9,2.63
53913.79,1.32
55620.69,4.82
57327.59,1.1
59034.48,1.58
60741.38,1.45
62448.28,2.06
64155.17,2.16
65862.07,3.13
67568.97,2.72
69275.86,1.3
70982.76,2.32
72689.66,4.03
74396.55,2.18
76103.45,2.35
77810.34,1.7
79517.24,4.37
81224.14,3.09
82931.03,3.75
84637.93,3.27
86344.83,4.83
88051.72,2.87
89758.62,2.38
91465.52,4.89
93172.41,3.7
94879.31,3.07
96586.21,5.0
98293.1,2.75
100000.0,4.6
