Agriculture and Food Production,the Analysis of Agriculture and Food Production,Positive Linear
Sunlight hours (hours/day),Crop yield (tons/hectare)
4.0,1.0
4.22,2.94
4.44,1.92
4.67,1.79
4.89,3.47
5.11,4.45
5.33,4.46
5.56,4.82
5.78,5.78
6.0,4.97
6.22,5.23
6.44,5.12
6.67,5.81
6.89,7.18
7.11,5.37
7.33,5.07
7.56,5.24
7.78,6.86
8.0,6.77
8.22,4.73
8.44,9.3
8.67,7.06
8.89,6.57
9.11,8.01
9.33,8.88
9.56,8.49
9.78,7.27
10.0,7.02
10.22,6.53
10.44,8.91
10.67,8.81
10.89,9.07
11.11,10.0
11.33,9.1
11.56,9.62
11.78,9.95
12.0,9.02
