Agriculture and Food Production,the Overview of Agriculture and Food Production,Random
Sunlight hours (hours/day),Food production cost ($/ton)
4.0,1394.99
4.21,771.79
4.42,713.6
4.63,1146.68
4.84,798.35
5.05,883.54
5.26,742.79
5.47,1885.98
5.68,1253.4
5.89,119.09
6.11,950.43
6.32,638.75
6.53,335.24
6.74,1463.79
6.95,751.75
7.16,1412.35
7.37,1431.83
7.58,1914.11
7.79,1251.51
8.0,245.26
8.21,829.81
8.42,1769.78
8.63,2000.0
8.84,636.76
9.05,152.23
9.26,758.73
9.47,786.39
9.68,600.73
9.89,100.0
10.11,416.36
10.32,540.94
10.53,981.39
10.74,1264.95
10.95,110.05
11.16,870.76
11.37,1388.77
11.58,1272.5
11.79,494.79
12.0,916.15
