Transportation and Logistics,the Influence of Transportation and Logistics,Inverted U-shape
Vehicle age (years),Cost per mile ($)
0.0,0.54
0.29,0.9
0.58,1.32
0.87,1.48
1.15,1.78
1.44,1.86
1.73,2.35
2.02,2.63
2.31,2.56
2.6,3.09
2.88,2.97
3.17,3.37
3.46,3.46
3.75,3.64
4.04,4.11
4.33,3.95
4.62,4.11
4.9,4.24
5.19,4.23
5.48,4.42
5.77,4.34
6.06,4.58
6.35,4.51
6.63,5.0
6.92,4.85
7.21,4.74
7.5,4.71
7.79,4.61
8.08,4.68
8.37,4.54
8.65,4.63
8.94,4.58
9.23,4.25
9.52,4.38
9.81,3.63
10.1,3.74
10.38,4.06
10.67,4.02
10.96,3.86
11.25,3.82
11.54,3.55
11.83,3.33
12.12,3.35
12.4,3.47
12.69,2.73
12.98,2.48
13.27,2.21
13.56,1.96
13.85,1.8
14.13,1.42
14.42,0.98
14.71,1.03
15.0,0.5
