Transportation and Logistics,the Trend of Transportation and Logistics,U-shape
Vehicle age (years),On-time rate (%)
0.0,100.0
0.37,98.46
0.73,95.92
1.1,94.9
1.46,87.73
1.83,90.68
2.2,90.07
2.56,85.69
2.93,85.95
3.29,82.85
3.66,82.95
4.02,76.99
4.39,75.69
4.76,79.5
5.12,75.27
5.49,75.33
5.85,75.99
6.22,80.07
6.59,74.59
6.95,74.51
7.32,70.0
7.68,71.02
8.05,72.76
8.41,71.81
8.78,70.27
9.15,71.93
9.51,74.35
9.88,72.58
10.24,75.8
10.61,82.8
10.98,77.34
11.34,79.99
11.71,85.75
12.07,83.09
12.44,77.02
12.8,90.79
13.17,88.94
13.54,87.72
13.9,94.82
14.27,98.45
14.63,99.92
15.0,97.4
