Transportation and Logistics,the Comparison of Transportation and Logistics,U-shape
Delivery time (hours),Customer satisfaction (rating)
0.5,4.65
0.66,4.92
0.83,4.57
0.99,4.89
1.16,4.15
1.32,3.89
1.48,4.28
1.65,3.42
1.81,3.16
1.97,3.62
2.14,3.99
2.3,2.89
2.47,2.6
2.63,2.78
2.79,2.22
2.96,2.85
3.12,1.77
3.28,2.8
3.45,1.07
3.61,1.9
3.78,2.46
3.94,2.11
4.1,2.62
4.27,1.0
4.43,1.82
4.59,1.04
4.76,1.01
4.92,1.33
5.09,2.27
5.25,1.81
5.41,1.82
5.58,2.41
5.74,1.52
5.91,1.27
6.07,1.26
6.23,1.91
6.4,2.79
6.56,2.23
6.72,2.23
6.89,1.4
7.05,1.25
7.22,2.23
7.38,3.06
7.54,2.58
7.71,2.5
7.87,2.37
8.03,2.93
8.2,2.93
8.36,3.06
8.53,4.0
8.69,3.65
8.85,4.13
9.02,3.72
9.18,4.4
9.34,3.61
9.51,4.93
9.67,3.97
9.84,4.33
10.0,5.0
