Agriculture and Food Production,Livestock Production,tons
trend,volatile_rising,volatile_rising,exponential_rising,exponential_rising,volatile_rising,stable_rising
Year,Whispering Willows Estate,Misty Meadow Acres,Ironwood Ranch,Starfall Organics,Golden Harvest Cooperative,Sunstone Farms
1970,53813.28,53796.64,49217.02,51399.61,48536.34,49953.11
1971,53351.97,55892.38,53583.82,55644.38,56213.87,51796.46
1972,56844.42,58460.38,59591.26,59244.48,59615.65,56077.19
1973,61380.21,61658.29,68051.59,67822.95,60998.65,58448.67
1974,65777.93,63352.96,70919.85,72889.8,64645.98,59744.66
1975,74024.25,66806.36,81125.21,80276.69,72696.42,62194.58
1976,72335.69,73888.38,88004.64,89304.15,73115.11,63733.07
1977,76134.7,76169.79,97324.93,98714.9,77860.54,67213.55
1978,82615.66,82567.01,107292.5,106337.43,81524.9,71387.09
1979,87509.74,83159.53,117012.98,119270.2,83821.52,71266.33
1980,91916.42,88841.64,129801.73,132301.36,91203.27,75796.86
1981,97117.57,92723.93,142622.7,142707.06,91958.15,77115.68
1982,97824.88,99993.92,158953.92,154209.51,99721.28,78188.3
1983,102350.62,101651.24,172792.65,172736.8,103072.08,81149.05
1984,106764.43,106146.22,190990.85,189857.33,106494.37,83486.81
1985,111014.19,110603.01,208442.97,208451.6,107349.34,87448.41
1986,112668.98,113216.39,228897.63,230289.57,115079.08,90192.25
1987,115794.48,119091.43,254383.87,253142.66,115372.53,92947.27
1988,122986.92,120781.97,278895.78,278913.93,120947.86,94162.01
1989,126780.49,127045.48,305365.34,306495.03,123574.17,98771.76
1990,128240.73,130716.89,337918.16,335949.86,132574.15,99519.44
1991,133436.13,135816.32,369289.49,370660.5,134177.77,102463.2
